title,denomination,year,action,reason
문선명통일교(세계평화통일가정연합),통합,1988/73,불매 운동,문선명 집단 관련제품 조사하여 불매운동전개
문선명통일교(세계평화통일가정연합),통합,1989/74,조사 처벌,통일교와 관련자 철저히 조사 색출하여 치리
문선명통일교(세계평화통일가정연합),대신,2008/93,이단,
문선명통일교(세계평화통일가정연합),고신,2009/59,이단,
문선명통일교(세계평화통일가정연합),기감,2014/31,이단,
문선명통일교(세계평화통일가정연합),기하성여의도,,이단,
문선명통일교(세계평화통일가정연합),기성기장합신합동,,기독교를 가장한 사이비 집단,"성경관, 교회관, 기독론, 부활론등 전 분야 걸쳐 반기독교적"
문제선예루살렘교회,합신,2017/102,이단,"직통계시론자, 잘못된 요한계시록 해석,이분법적 해석, 기독론, 이중구원론"
미주 세이연,합동,2019/104,교류금지,반삼위일체 주장하는 이단
미주 세이연,고신,2020/70,이단사상,"구독, 광고, 후원 금지"
미주 세이연,통합,2021/106,이단성,"삼위일체, 기독론"
박건재남양주 수정교회,합동,2022/107,엄히 경계,"빈야드식 쓰러짐 현상,신사도운동의 신비주의"
박명호엘리야복음선교원(現 한농복구회)십계석국총회,통합,1991/76,이단 / 안식교계열,"이신득의 진리거부,인간이 신이 된다는 교리"
박명호엘리야복음선교원(現 한농복구회)십계석국총회,고신합동,,,
박무수부산제일교회,고신,1999/49,관계금지,4단계 회개
박무수부산제일교회,기성,1999/93,이단,4단계 회개
박무수부산제일교회,통합,1999/84,"비성경적, 사이비적",4단계 회개
박용기,고신,2003/53,"집회, 저서, 성경공부 등 금지",하나님을 죄의 원인 제공자로만드는 심각한 오류
박윤식평강제일교회(구 대성교회),통합,1991/76,이단,"기독론, 타락관, 계시관, 창조론"
박윤식평강제일교회(구 대성교회),통합,2015/100,76회 결의유지,
박윤식평강제일교회(구 대성교회),합동,1996/81,이단,
박윤식평강제일교회(구 대성교회),합동,2005/90,이단 재확인,
박윤식평강제일교회(구 대성교회),합동,2019/104,구속사 세미나참석금지,본 교단이 이단으로 결의한 교회가 진행
박윤식평강제일교회(구 대성교회),기감,2014/31,예의주시,
박주형새벧엘교회,합동,2002/87,강단교류금지,"지나친 신비주의, 주관적성경해석문제"
"박철수새생활영성훈련원, 아시아교회",합신,2001/86,참석금지,"성령상담, 영서, 인간론, 구원론, 성경해석, 귀신론에 있어 위험한 사상운동을 하는 자"
"박철수새생활영성훈련원, 아시아교회",합동,2002/87,교류금지,
"박철수새생활영성훈련원, 아시아교회",통합,2004/89,더이상 문제삼지 않기로 함,
"박철수새생활영성훈련원, 아시아교회",통합,2010/95,비성경적 운동 참여금지,"본 교단에 대한 약속 불이행, 영성훈련의 문제점"
"박철수새생활영성훈련원, 아시아교회",통합,2013/98,95회기 결의유지,
박태선천부교(구 전도관),통합,1956/41,이단,비성경적이요본 장로교 교리와 신조에 위반됨
"방춘희김포큰은혜기도원, 예언신유집회",통합,2010/95,초청 자제,신학적 무지 및 미신적 소지 있음
"방춘희김포큰은혜기도원, 예언신유집회",합동,2020/105,출입 금지,사이비성 신앙 단체
백남주,통합,1933/22,이단으로 간주할수 있는 단체로각 노회에 주의 통첩,신비주의
베리칩과 666,합동,2013/98,관계없음,베리칩과 666은 관계없음
베리칩과 666,합신,2014/99,관계없음,베리칩과 666은 관계없음
변승우사랑하는교회(구 큰믿음교회),고신,2008/58,주의,불건전
변승우사랑하는교회(구 큰믿음교회),고신,2009/59,참여금지,"구원관, 계시관, 신사도적 운동추구,다림줄, 신학 및 교리 경시, 한국 교회를 폄하하는발언"
변승우사랑하는교회(구 큰믿음교회),통합,2009/94,비성경적 기독교이단,"교회론, 계시론과 성령론, 구원론,신비주의적인 사역"
변승우사랑하는교회(구 큰믿음교회),합동,2009/94,집회참석금지,알미니안주의 혹은 신율법주의
변승우사랑하는교회(구 큰믿음교회),백석,2009/94,"제명처리, 출교, 주의,경계, 집회참여금지","계시관, 성경관, 구원관, 교회관"
변승우사랑하는교회(구 큰믿음교회),합신,2009/94,이단성이 있어 참여및 교류금지,"구원론, 직통계시, 기성 교회 비판"
변승우사랑하는교회(구 큰믿음교회),합신,2022/107,이단,"잘못된 신사도운동, 잘못된 계시관,자신을 초월적인 존재로 우상화,칼빈주의 5대교리는 마귀의 교리라고 주장"
변승우사랑하는교회(구 큰믿음교회),기성,2011/105,"집회참여, 교류금지","성서해석의 오류, 비성서적"
변승우사랑하는교회(구 큰믿음교회),기성,2019/113,교류금지 유지,
변승우사랑하는교회(구 큰믿음교회),예성,2012/91,이단,"구원판 변질, 개인체험에 의한 성경해석,급진적 신비주의 추구"
변승우사랑하는교회(구 큰믿음교회),기감,2014/31,예의주시,
변승우사랑하는교회(구 큰믿음교회),기하성여의도,,이단,
